step,loss,loss/mean,loss/std,lr,momentum
1,0.6528990864753723,0.6528990864753723,0.04757316407634739,1.6907784461977777e-05,0.9482959081729243
2,0.4977380037307739,0.4977380037307739,0.04442538044608893,3.129660523228269e-05,0.9432997898499018
3,0.41567760705947876,0.41567760705947876,0.04094368999128392,5.418566743587761e-05,0.935352198806987
4,0.36129245162010193,0.36129245162010193,0.039445313929312685,8.401476851953963e-05,0.9249948720418265
5,0.3212791681289673,0.3212791681289673,0.038567434160173435,0.00011875064738864154,0.912933802990055
6,0.2933160364627838,0.2933160364627838,0.03134180927752431,0.00015602557895169842,0.8999911184195492
7,0.2754165232181549,0.2754165232181549,0.02839723828091591,0.00019329876695945382,0.8870490392501896
8,0.26428791880607605,0.26428791880607605,0.0248763349992444,0.00022802953400978518,0.8749897451354912
9,0.2553262412548065,0.2553262412548065,0.02216600403137024,0.000257850503451551,0.8646352418571003
10,0.24979956448078156,0.24979956448078156,0.02258050331717076,0.0002807289684727039,0.8566913303914222
11,0.24724812805652618,0.24724812805652618,0.020952117650703043,0.0002951054488629006,0.8516994969226039
12,0.24298082292079926,0.24298082292079926,0.01973636608049006,0.000299999998261766,0.8500000005794136
13,0.24129782617092133,0.24129782617092133,0.019569171464732357,0.0002990542767448491,0.8503152423460196
14,0.23921768367290497,0.23921768367290497,0.018746491094080074,0.00029623411875990803,0.8512552987678924
15,0.2384500503540039,0.2384500503540039,0.018434500055558793,0.00029157498942989724,0.8528083480900932
16,0.23637188971042633,0.23637188971042633,0.017624472919048947,0.0002851354800094314,0.8549548598162955
17,0.23309211432933807,0.23309211432933807,0.015694191760678898,0.0002769965710657632,0.8576678403161069
step,loss,loss/mean,loss/std,lr,momentum
1,0.6672987937927246,0.6672987937927246,0.02967558859691676,1.418834078352173e-05,0.949240159450166
2,0.5255041718482971,0.5255041718482971,0.042945146114850154,2.0686851531520004e-05,0.9469837321071111
3,0.43834590911865234,0.43834590911865234,0.029610265417075888,3.129801896480035e-05,0.9432992989705554
4,0.3904073238372803,0.3904073238372803,0.02806488055249251,4.569933127148736e-05,0.9382988433085113
5,0.3507883548736572,0.3507883548736572,0.028072291716938338,6.345308040912339e-05,0.9321343470801654
6,0.324238657951355,0.324238657951355,0.028751647361101765,8.401966563745418e-05,0.9249931716536617
7,0.29409870505332947,0.29409870505332947,0.023454394129356713,0.00010677399393935571,0.9170923632155015
8,0.2733708620071411,0.2733708620071411,0.019514779991029515,0.00013102447886170713,0.9086720559507961
9,0.25884851813316345,0.25884851813316345,0.017173542544803366,0.000156034060332623,0.899988173495617
10,0.24515873193740845,0.24515873193740845,0.01380358387331452,0.0001810426065866641,0.8913046504907416
11,0.2407969981431961,0.2407969981431961,0.014812308925412434,0.00020529001732238182,0.8828854106519507
12,0.23644103109836578,0.23644103109836578,0.013011305389413154,0.000228039325903557,0.8749863451723761
13,0.23346100747585297,0.23346100747585297,0.0123568000872752,0.0002485990984445631,0.8678475352623044
14,0.22974108159542084,0.22974108159542084,0.011157421136507277,0.0002663444489905196,0.8616859552116252
15,0.2271515280008316,0.2271515280008316,0.0100199696535037,0.00028073603206479273,0.8566888777552802
16,0.22656789422035217,0.22656789422035217,0.010571048738524548,0.0002913364353315373,0.8530081821765495
17,0.2247229963541031,0.2247229963541031,0.009466218923986231,0.0002978234741408866,0.8507557381455254
18,0.22488783299922943,0.22488783299922943,0.010083649787966519,0.00029999999691817514,0.850000001027279
19,0.2233055680990219,0.2233055680990219,0.009540889811500015,0.000299578295915215,0.850140568590536
20,0.22193102538585663,0.22193102538585663,0.008384651779170214,0.00029832009576235354,0.8505599703190967
21,0.22231963276863098,0.22231963276863098,0.008795875169815576,0.0002962324328252188,0.85125586074837
22,0.22124481201171875,0.22124481201171875,0.008187175231982818,0.00029332698216178994,0.852224348176796
23,0.22039546072483063,0.22039546072483063,0.007261408381349659,0.00028961999223073694,0.8534600164298201
24,0.22040870785713196,0.22040870785713196,0.0075915677957688445,0.00028513219402344906,0.8549559551493375
25,0.22045032680034637,0.22045032680034637,0.007982958010712115,0.00027988868512792103,0.8567037984392201
26,0.22017498314380646,0.22017498314380646,0.008239147390117663,0.0002739187893728615,0.8586937716507994
27,0.2190191000699997,0.2190191000699997,0.006855521812158286,0.00026725589283694705,0.8609147460466685
28,0.2189132422208786,0.2189132422208786,0.007256611589285028,0.00025993725714032814,0.8633543010370948
29,0.21814289689064026,0.21814289689064026,0.006729848694616493,0.00025200381106253445,0.8659987936409964
30,0.21858526766300201,0.21858526766300201,0.006571118210903648,0.00024349992165213725,0.8688334347830267
31,0.21826016902923584,0.21826016902923584,0.006141940506204337,0.00023447314610821718,0.8718423720000823
32,0.2170196771621704,0.2170196771621704,0.005910690397673685,0.00022497396582121568,0.8750087780947071
33,0.21720533072948456,0.21720533072948456,0.005996008537788492,0.0002150555040605228,0.8783149452396066
34,0.21720761060714722,0.21720761060714722,0.006200249656095638,0.00020477322888760575,0.8817423840070008
35,0.21657249331474304,0.21657249331474304,0.005456434401164204,0.00019418464295610936,0.8852719267690039
36,0.2161533087491989,0.2161533087491989,0.0047928334170197215,0.00018334896193369145,0.8888838348907757
37,0.21616391837596893,0.21616391837596893,0.005122575386882292,0.00017232678334398957,0.8925579091169733
38,0.21592670679092407,0.21592670679092407,0.004748142219195205,0.00016117974768068772,0.8962736025341809
39,0.21547462046146393,0.21547462046146393,0.004858072543329372,0.0001499701936888724,0.9000101354775845
40,0.2152097374200821,0.2152097374200821,0.00469713866333852,0.00013876080974148286,0.9037466117392859
41,0.21536406874656677,0.21536406874656677,0.004408251961922815,0.00012761428326050093,0.9074621354283747
42,0.21491403877735138,0.21491403877735138,0.004347742938960203,0.00011659295014345901,0.9111359278292249
43,0.2150866538286209,0.2150866538286209,0.004775659527948292,0.00010575844615581506,0.9147474436045027
44,0.2144443541765213,0.2144443541765213,0.0037445551740722138,9.517136223875065e-05,0.9182764856930259
45,0.21483516693115234,0.21483516693115234,0.004328278778103299,8.48909056600497e-05,0.9217033182599231
46,0.21460939943790436,0.21460939943790436,0.004045224935048606,7.49745689030406e-05,0.925008777067428
47,0.21461984515190125,0.21461984515190125,0.00402328430435688,6.547780814530778e-05,0.9281743766490707
48,0.2143636792898178,0.2143636792898178,0.00373976476255355,5.645373312525223e-05,0.931182413687904
49,0.21392689645290375,0.21392689645290375,0.0031069525144353074,4.79528101308905e-05,0.9340160660206339
50,0.21402260661125183,0.21402260661125183,0.003633924454359602,4.0022579771901485e-05,0.9366594867139797
51,0.21396504342556,0.21396504342556,0.0034113378872900504,3.270739111325254e-05,0.9390978926871532
52,0.21406985819339752,0.21406985819339752,0.003926633030251576,2.6048153657238658e-05,0.9413176473848432
53,0.21351709961891174,0.21351709961891174,0.0026315897087821416,2.0082108560951307e-05,0.9433063370383643
54,0.2134758085012436,0.2134758085012436,0.0030811165260847444,1.4842620368621324e-05,0.9450528400884866
55,0.21364432573318481,0.21364432573318481,0.003056663376122915,1.035899042355388e-05,0.9465473893817062
56,0.2135159820318222,0.2135159820318222,0.0029410651102252565,6.656293003130807e-06,0.9477816267921302
57,0.21374449133872986,0.21374449133872986,0.003035496732720006,3.7552350932805896e-06,0.9487486499635063
58,0.213282510638237,0.213282510638237,0.0026616669931924446,1.6720405866133769e-06,0.9494430509099991
59,0.2136441320180893,0.2136441320180893,0.0030628982215215607,4.1835955183257024e-07,0.9498609462598409
60,0.21327689290046692,0.21327689290046692,0.0027542157123471027,1.2030818248747524e-09,0.9499999989727209
